ID	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
ASV_161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	7	6	0	0	0	0	0	0	0	0	0	0	0	0	44	40	52
ASV_187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	30	27	24	0	0	0	0	0	0	0	0	0	0	0	0	14	12	10
ASV_2	69	12	60	20	12	12	35	26	26	44	57	76	93	59	19	19	26	55	16	17	29	196	58	196	77	178	160	124	97	340	174	130	197	281	16	396	327	240	113	146	617	482	403	370	376	585	656	674	1361	987	999	1410	1287	619	1514	2615	667	2477	1760	2607	1747	1777	1748
ASV_216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	1	0	0	0	0	10	0	8	0	0	0	0	1	5	0	0	0	0	1	1	0	0	0	0	0	2	63	62	3	39	46	12	1	3	0	0	3	2
ASV_46	0	0	0	0	0	0	1	0	0	84	45	55	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	4	226	222	181	4	7	0	0	0	0	0	0	0	0	0	0	83	77	76
ASV_247	0	14	6	15	13	15	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	18	35	11	0	7	0	0	16	22	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	1	10	3	0	6	0	0	0	0	0	0	0	0	0	0	4	15	0	0	3	8	46	43	68	0	0	0	42	25	46	316	702	789	15	23	20	370	669	763	0	1	0	0	0	0	0	0	0	99	124	83	7	11	6	1	0	0	15	39	5	0	0	0
ASV_7	50	192	146	593	398	415	357	170	339	528	386	472	166	121	134	423	239	476	353	396	342	209	212	124	959	842	684	102	181	190	412	317	288	469	563	580	401	319	366	776	828	737	645	96	381	15	20	18	163	190	129	388	381	630	173	262	337	36	59	16	11	3	5
ASV_105	16	28	14	9	12	4	3	5	3	19	11	15	5	5	7	13	8	24	27	23	23	11	8	15	7	16	8	15	34	18	19	4	10	13	5	4	14	5	8	14	16	14	12	17	12	2	3	5	3	8	14	19	12	18	2	0	5	0	1	0	0	2	3
ASV_8	436	429	439	478	385	382	341	563	569	132	112	157	271	249	276	167	158	230	466	466	467	128	80	104	207	183	205	52	73	45	91	92	76	143	232	221	90	59	88	204	179	224	195	85	116	4	18	4	186	173	174	130	169	209	72	55	95	29	53	25	7	1	8
ASV_205	3	6	6	10	6	5	2	4	3	0	10	0	4	3	11	0	0	6	10	12	7	9	11	10	4	0	7	5	8	5	0	3	0	4	7	5	7	4	0	2	4	3	0	3	1	1	1	0	5	0	5	0	7	0	0	0	0	1	1	0	0	0	0
ASV_16	186	208	181	157	170	179	170	143	151	189	216	193	169	191	170	42	48	64	79	82	87	30	43	37	65	51	33	17	21	13	24	33	13	93	141	53	44	44	40	93	71	65	38	29	37	30	28	26	34	95	37	45	40	64	15	11	20	1	10	0	17	17	23
ASV_91	17	24	36	14	37	36	40	45	32	6	5	2	7	19	6	2	0	0	0	0	0	0	0	0	6	12	7	0	0	0	7	3	0	6	6	8	3	0	2	8	5	5	11	11	12	5	3	5	0	0	0	1	0	0	0	0	0	1	0	1	3	3	0
ASV_75	29	38	21	35	54	89	19	28	19	85	64	82	16	25	20	2	8	7	6	4	7	5	8	8	16	22	11	0	0	3	0	3	1	4	3	3	1	0	2	14	9	9	12	4	1	1	11	8	0	4	0	0	2	0	0	0	0	1	1	0	2	1	1
ASV_180	14	19	14	7	7	4	11	15	14	13	9	9	4	6	3	0	5	0	0	0	0	0	0	0	8	6	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	2	5	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_128	5	13	9	17	34	28	36	39	45	23	29	33	38	38	38	0	0	5	0	0	0	2	0	2	4	1	3	0	0	0	0	0	0	1	0	3	8	4	1	0	0	0	15	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_173	18	18	15	15	17	17	14	22	8	7	8	4	12	15	10	0	0	0	0	0	0	0	0	4	6	12	4	0	0	3	0	0	0	2	0	6	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_112	65	68	36	53	42	28	17	50	20	0	8	13	9	17	16	0	4	0	0	0	0	0	0	0	12	13	6	0	0	0	3	6	0	0	0	0	0	7	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_88	30	18	30	58	66	64	37	57	78	8	5	5	45	35	34	0	0	2	0	0	0	0	0	0	6	14	14	0	0	0	0	1	0	4	0	0	0	0	0	0	2	7	10	7	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_143	6	10	9	0	6	6	12	5	14	7	24	9	2	12	5	15	11	19	13	14	21	3	6	4	4	0	5	0	5	0	8	5	13	7	7	8	5	6	4	11	0	11	0	0	1	2	0	3	12	19	17	8	10	20	0	0	7	0	4	0	5	2	2
ASV_231	2	12	6	4	11	5	9	8	2	0	0	0	0	0	2	0	0	0	9	0	7	4	16	9	0	0	0	11	0	21	3	4	0	1	0	0	6	0	0	0	0	0	0	0	0	6	5	3	0	0	0	0	0	0	0	0	1	0	0	0	4	3	3
ASV_322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	2	80	0	25	10	0	0	0	8	0	10	8	0	0	0	0	0	0	0	0	3	8	0	0	0	0	4	6	0	0	0	0	0	0	0
ASV_306	0	3	6	0	0	4	0	11	0	4	3	0	34	24	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_243	0	0	4	0	8	0	10	9	10	0	0	0	42	31	27	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_270	8	11	2	0	0	0	6	4	6	5	0	3	10	17	11	0	0	2	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	5	6	0	0	0	0	5	2	4	4	4	0	0	0	0	0	0	0	0	0	0	2	2
ASV_324	0	0	0	0	0	0	28	0	22	0	0	0	0	0	0	3	0	18	9	11	6	0	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_147	37	4	15	14	37	22	24	4	13	9	3	0	7	7	2	0	0	0	10	5	3	3	5	5	5	1	1	1	9	26	0	0	0	0	0	0	0	6	17	3	9	3	0	2	0	0	0	0	11	14	4	5	8	14	0	0	0	3	4	1	0	0	0
ASV_73	74	19	70	20	26	32	0	4	3	149	155	113	7	0	3	0	0	11	7	11	0	0	0	0	5	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	8	1	7	4	1	4	10	6	13	6	14	30	2	0	0	0	5	0	0	1	0
ASV_96	17	14	11	0	5	7	0	6	3	13	14	14	0	0	0	7	0	6	7	7	0	9	32	23	27	18	29	0	2	14	26	10	4	2	0	0	0	0	0	0	0	0	41	17	23	2	9	14	19	11	17	26	46	66	6	20	13	6	14	3	6	2	1
ASV_263	4	9	0	0	10	0	3	0	4	3	0	18	23	16	0	0	4	0	10	0	0	0	3	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	3	0	5	0	0	0	0	0	0	0	0	0	1	2	2
ASV_19	74	189	111	85	78	80	33	34	27	49	52	49	47	43	40	105	94	155	96	129	130	72	79	38	196	142	81	12	26	31	60	38	41	71	87	90	37	31	28	93	49	64	151	54	97	44	48	47	96	85	77	50	53	89	73	40	98	17	35	12	14	15	16
ASV_87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	54	0	0	0	0	378	299	0	0	0	35	21	33	0	0	0	0	0	0	0	0	0	0	0	0	6	8	10
ASV_135	18	9	10	0	7	6	8	8	15	0	14	10	57	43	52	0	0	0	0	0	9	0	0	0	4	15	6	0	12	0	0	0	0	8	17	11	0	0	0	16	17	0	4	0	0	0	2	0	0	0	0	0	0	0	15	4	9	0	6	2	0	0	1
ASV_340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	14	18	12	0	0	0	16	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	9	2	5	6	0	0	5	0	0	0	3	7	0
ASV_217	0	0	7	0	12	8	0	13	0	7	9	11	0	19	16	0	0	5	3	0	0	0	0	0	16	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	0	5	0	3	0	0	0	0	0	0	0	0	0	0	4	3	4
ASV_32	0	0	0	6	5	13	0	0	12	16	30	14	12	26	23	0	0	0	0	0	0	0	0	0	4	11	2	0	0	0	17	3	4	14	12	9	0	0	0	14	14	10	36	294	155	107	131	118	0	0	0	14	7	16	0	0	0	0	0	0	221	235	234
ASV_74	7	18	12	11	9	15	19	6	14	14	16	22	13	10	11	65	52	0	9	13	17	14	11	2	7	11	0	13	2	30	19	12	0	0	6	6	33	22	29	4	5	4	0	10	4	19	24	24	3	2	3	6	0	0	0	0	5	0	1	4	3	8	11
ASV_12	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	73	78	1	87	82	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	1	45	45	38	2	0	0	0	0	0	0	0	0	0	0	0	103	126	114
ASV_242	0	0	0	0	0	1	0	0	0	0	0	0	0	5	4	0	0	0	14	0	0	0	9	7	0	0	0	7	7	4	11	0	0	10	7	11	10	7	0	0	0	0	0	0	0	0	0	0	7	11	10	25	13	22	4	8	8	0	2	1	0	0	0
ASV_265	10	14	9	25	11	4	0	1	0	0	0	0	10	0	6	0	14	4	0	0	0	9	0	0	5	3	0	0	0	0	0	10	0	0	0	9	0	0	0	9	0	0	5	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0
ASV_213	9	8	3	0	11	3	8	5	8	5	0	4	3	1	1	0	0	0	4	4	5	4	2	2	2	0	4	0	0	0	0	0	0	2	7	0	0	0	0	0	0	4	2	5	2	0	0	4	2	4	3	0	0	0	0	0	0	0	0	1	4	4	4
ASV_22	106	86	83	94	113	162	116	64	82	71	87	98	65	112	83	26	68	54	50	48	62	98	83	65	57	36	67	32	20	76	18	16	21	104	84	106	238	112	114	67	53	53	45	19	22	42	40	31	138	163	77	53	57	106	26	6	36	10	16	5	15	27	23
ASV_43	10	0	0	18	0	2	79	145	94	73	66	48	8	32	27	27	21	43	57	39	38	23	14	16	9	6	5	10	19	14	15	0	9	16	20	28	11	6	8	22	24	25	11	0	8	4	5	3	22	35	19	18	22	28	25	4	33	6	17	4	1	0	0
ASV_184	0	0	0	18	39	20	2	5	7	8	7	7	4	10	11	0	0	0	0	0	0	0	0	0	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	59	63	0	0	0	0	0	0	0	0	0	0	0	14	0	18	13	24	21	19	0	0	0	0	0	0	0	0	0	12	21	16	0	0	0	9	8	3	5	0	0
ASV_285	8	10	9	0	0	6	6	0	0	6	0	0	25	23	21	0	0	0	0	0	5	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_274	0	0	7	0	8	2	3	0	0	5	4	7	0	2	0	6	0	9	11	5	4	0	8	5	0	2	0	0	5	0	4	5	2	3	0	0	0	0	3	7	0	3	0	0	0	0	0	0	5	5	0	3	0	0	0	0	0	0	0	1	0	0	0
ASV_110	88	142	89	0	0	0	62	110	61	27	41	26	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_144	9	0	0	0	15	4	19	11	12	10	7	0	51	47	51	0	0	0	14	10	13	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	7	0	0	2	1	0	0	11	0	0	0	0	0	0	0	0	0	1	0
ASV_132	11	6	14	30	18	9	0	0	0	35	38	31	2	6	0	0	15	7	0	0	8	11	0	0	2	2	6	0	0	0	0	11	0	0	12	5	4	0	0	0	9	9	3	1	2	1	0	0	0	8	0	0	10	6	0	0	0	0	0	0	0	1	0
ASV_93	17	18	23	0	0	0	16	22	34	35	38	40	32	42	33	0	3	0	0	0	0	0	0	0	16	12	6	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	28	19	24	4	0	0	7	5	4	0	5	5	0	0	0	0	1	0	8	17	17
ASV_111	0	14	0	21	19	31	45	26	42	38	31	35	15	1	5	0	7	5	0	0	0	3	27	21	0	0	6	0	1	0	12	10	7	0	3	0	10	7	5	0	2	0	8	1	5	7	9	6	0	2	2	0	0	0	0	0	5	0	0	0	12	11	11
ASV_101	0	0	0	117	97	74	24	57	59	27	18	18	16	21	21	0	0	0	0	0	0	0	0	0	12	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_201	10	24	6	15	10	5	8	14	5	0	5	4	0	7	1	0	0	8	5	6	1	0	0	0	0	9	2	0	0	0	1	5	0	2	2	7	0	0	0	4	0	0	1	4	2	10	4	8	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1
ASV_51	65	65	46	296	297	264	53	152	134	31	17	24	53	30	42	0	18	0	5	0	0	0	0	0	71	45	51	0	0	0	0	0	0	0	0	0	11	0	0	15	0	0	18	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_171	15	41	22	31	38	28	9	23	13	7	0	4	0	1	4	0	0	0	0	0	0	0	0	0	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
