OTUs	CK	NPK	NPKM	size	Kingdom	Phylum	Class	Order	Family	Genus	Enrich
ASV2	37.24 	237.25 	1416.11 	14.5766443	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NPKM
ASV216	0.52 	1.13 	13.11 	0.127262637	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Others	NPKM
ASV161	0.00 	0.13 	8.44 	0.07388726	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Others	NPKM
ASV187	0.00 	1.08 	6.50 	0.065384836	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Others	NPKM
ASV46	8.86 	0.63 	48.67 	0.501369284	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NPKM
ASV15	2.38 	164.08 	21.67 	1.622098227	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Roseateles	NPK
ASV5	223.43 	546.38 	271.78 	8.980697958	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	NPK
ASV69	12.38 	27.75 	10.61 	0.437507014	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Others	NPK
ASV44	8.76 	29.33 	6.94 	0.388340081	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Others	NPK
ASV98	7.00 	17.38 	6.39 	0.265251672	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Others	NPK
ASV45	5.62 	133.21 	8.44 	1.269803633	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	NPK
ASV7	318.86 	445.04 	157.56 	7.94494193	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NotSig	NotSig
ASV19	80.95 	69.50 	50.50 	1.732646844	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NotSig	NotSig
ASV22	82.38 	66.92 	48.39 	1.704487911	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NotSig	NotSig
ASV26	46.57 	42.17 	50.11 	1.197182328	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NotSig	NotSig
ASV27	26.05 	26.42 	84.28 	1.17901417	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	NotSig	NotSig
ASV38	68.52 	38.33 	26.28 	1.147912749	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NotSig	NotSig
ASV56	2.48 	18.63 	110.17 	1.131814599	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	NotSig	NotSig
ASV33	8.24 	35.38 	81.61 	1.079705176	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NotSig	NotSig
ASV42	19.95 	63.75 	25.00 	0.937251086	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	NotSig	NotSig
ASV36	42.67 	43.67 	19.94 	0.91634573	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	NotSig	NotSig
ASV35	15.81 	46.38 	37.78 	0.861892581	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NotSig	NotSig
ASV39	4.14 	91.46 	2.67 	0.847282783	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	NotSig	NotSig
ASV32	7.48 	24.96 	60.17 	0.798423784	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	NotSig	NotSig
ASV51	75.81 	9.25 	0.00 	0.733398205	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NotSig	NotSig
ASV28	17.33 	44.38 	16.44 	0.673847023	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	NotSig	NotSig
ASV40	22.62 	28.83 	23.50 	0.646252638	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NotSig	NotSig
ASV57	70.86 	0.08 	0.39 	0.615014357	Bacteria	Patescibacteria	Parcubacteria	CandidatusKaiserbacteria	unclassifiedoCandidatusKaiserbacteria	NotSig	NotSig
ASV77	19.10 	33.63 	10.78 	0.547491084	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NotSig	NotSig
ASV80	1.62 	7.17 	50.11 	0.507818808	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NotSig	NotSig
