ASVID,baseMean,log2FC,pvalue,RA,tax,level
ASV10,11.6744326477881,1.63154954386635,0.512334294951676,0.36942709,Others,NonSig
ASV100,8.7915712444628,-2.159957796,0.0555813714518793,0.254022577,Comamonadaceae,NonSig
ASV101,11.6419171049186,-6.531924495,1.48932524698764e-06,0.364121135,Sphingomonadaceae,Depleted
ASV102,9.94334459374948,-0.977019074,0.0284901885721733,0.293153992,Others,NonSig
ASV104,1.60813894748827,-0.707606714,0.790894509716552,0.30044968,Pseudomonadaceae,NonSig
ASV105,8.00598965040853,-0.937793967,0.105572251405174,0.246063645,Nocardioidaceae,NonSig
ASV106,12.5491607339653,-5.808520728,7.29733029053812e-08,0.387997931,Others,Depleted
ASV107,8.90973001978173,-3.690300142,6.73999908534259e-05,0.272593418,Caulobacteraceae,Depleted
ASV108,8.94696562873064,0.373034275305821,0.71304551807932,0.248053378,Bacillaceae,NonSig
ASV110,14.1414032034695,-6.487322207,2.61155336904651e-05,0.435088278,Others,Depleted
ASV111,9.09962916687707,-1.498898353,0.198770780773238,0.26529773,Sphingomonadaceae,NonSig
ASV112,9.68512251770691,-5.933215241,4.39849688972566e-08,0.297133458,Microbacteriaceae,Depleted
ASV113,9.66983440562589,-4.633925416,2.26720552187228e-07,0.302439413,Microbacteriaceae,Depleted
ASV114,7.37957812673797,-1.706334855,0.0884890718337129,0.214227917,Comamonadaceae,NonSig
ASV115,2.36592842068682,4.49104947866732,0.271766939714581,0.168464059,Pseudomonadaceae,NonSig
ASV117,9.77272683863058,0.503727577658657,0.565667799249485,0.269940441,Rhizobiaceae,NonSig
ASV118,9.46892952476502,-5.461341479,3.10602368523322e-08,0.290501015,Others,Depleted
ASV12,16.0014854943399,6.7379165796633,0.00216325486253511,0.319020521,Others,Enrich
ASV120,6.89128307288829,1.34519530611776,0.174915088220893,0.184381923,Rhizobiaceae,NonSig
ASV121,8.28051904813954,-4.763191554,2.49664485473601e-11,0.258665287,Xanthomonadaceae,Depleted
ASV123,3.69283518526056,2.14000097052494,0.377544422187011,0.196983565,Alcaligenaceae,NonSig
ASV127,7.58569990287373,-1.828679057,0.111614857996504,0.220197116,Rhizobiaceae,NonSig
ASV128,9.26812751219706,-5.705885055,1.34947198189656e-08,0.287184793,Sphingomonadaceae,Depleted
ASV129,6.07400949504478,0.932537885111111,0.412772941795008,0.167800814,Rhizobiaceae,NonSig
ASV132,5.21250221973667,-2.647324868,0.0280990116565758,0.169790547,Others,Depleted
ASV134,2.40458725234068,0.564943453419626,0.816529193137876,0.061018478,Rhizobiaceae,NonSig
ASV135,7.12269612797969,-1.888545678,0.152900313562172,0.202289519,Paenibacillaceae,NonSig
ASV136,0.607818927905998,2.93085837214606,0.458998079658688,0.005969199,Streptomycetaceae,NonSig
ASV137,8.39893613295028,-1.016000916,0.357390090439545,0.233462003,Others,NonSig
ASV138,1.08279232128746,0.0422357123179581,0.972342859962742,0.033162216,Nocardioidaceae,NonSig
ASV14,2.94904131829676,5.41499967214792,0.197198053816542,0.096170427,Others,NonSig
ASV141,3.89348690982692,0.60370716800396,0.769968071333686,0.094843939,Others,NonSig
ASV142,1.31211360255296,3.76389840082513,0.22535941474428,0.034488705,Microbacteriaceae,NonSig
ASV143,7.3575445940381,-0.399731395,0.52388602004518,0.219533872,Bacillaceae,NonSig
ASV144,6.23654011521047,-3.565102897,0.00327169101968586,0.191014366,Paenibacillaceae,Depleted
ASV147,6.49692628995061,-1.109592945,0.271766939714581,0.185708411,Others,NonSig
ASV15,13.276951862716,3.78430090054164,0.00481848994254928,0.291827503,Comamonadaceae,Enrich
ASV150,5.57021870171231,0.800109989841136,0.685278485034279,0.136628331,Rhizobiaceae,NonSig
ASV151,5.09016080922634,-2.046779656,0.182839145284743,0.146576996,Bacillaceae,NonSig
ASV153,3.64885523227649,-0.972628475,0.623015243868921,0.099486649,Others,NonSig
ASV154,0.937289215492992,1.04746233272365,0.638355317463797,0.021887063,Comamonadaceae,NonSig
ASV156,7.43962533193713,-5.53576766,1.19101802385139e-07,0.225503071,Rhizobiaceae,Depleted
ASV16,78.5987349831781,-1.962978964,1.02371920518815e-10,2.379720641,Comamonadaceae,Depleted
ASV161,5.03848979477734,6.18731560500281,0.0284885731127303,0.100813138,Microbacteriaceae,Enrich
ASV162,4.49521670300464,0.759227711512298,0.475492784869392,0.134638598,Others,NonSig
ASV165,3.03663480604083,-2.570628267,0.322939534937437,0.164484593,Pseudonocardiaceae,NonSig
ASV166,4.74298626656189,-2.493390805,0.0117682736119192,0.143924019,Xanthomonadaceae,Depleted
ASV168,4.56990826789162,-0.224426323,0.880343101032575,0.11805749,Bacillaceae,NonSig
ASV170,2.81857017674411,5.34957190985135,0.199387283725737,0.092190961,Pseudomonadaceae,NonSig
ASV171,5.08954561505064,-5.337485543,4.04535190447213e-05,0.156525661,Caulobacteraceae,Depleted
ASV172,3.46028835539268,0.841866345381157,0.286447237279133,0.089537984,Others,NonSig
ASV173,4.36310694250885,-4.940407554,1.0620888112954e-06,0.13331211,Nocardioidaceae,Depleted
ASV174,1.21806893568144,1.92039024580043,0.474205839292051,0.09351745,Sphingomonadaceae,NonSig
ASV177,4.43974907840937,-1.292998239,0.219538638752083,0.120047223,Others,NonSig
ASV180,3.42514631675101,-4.217809255,8.25225099104571e-06,0.104129359,Devosiaceae,Depleted
ASV181,2.81905175101075,-1.254050257,0.443208125821944,0.079589319,Others,NonSig
ASV182,1.99356784932794,1.47141125970606,0.311947667174639,0.059028745,Others,NonSig
ASV183,3.21979007493236,-0.218065651,0.889293346206487,0.083568785,Comamonadaceae,NonSig
ASV184,2.97423701328895,-4.385637738,0.00151628710232303,0.092190961,Others,Depleted
ASV185,1.47619849737822,2.50452615150467,0.222445361213018,0.032498972,Others,NonSig
ASV186,2.66275773669295,5.25195587514877,0.00753477149515974,0.04908008,Comamonadaceae,Enrich
ASV187,4.09772403266907,5.88875818205463,0.00469452643630352,0.077599586,Rhizobiaceae,Enrich
ASV189,3.35186958500004,0.115571624405245,0.96774664878084,0.101476382,Streptomycetaceae,NonSig
ASV19,62.3897077343715,-0.168733812,0.658470840754235,1.730404446,Sphingomonadaceae,NonSig
ASV191,3.45681567705078,-2.74007689,0.00888544840219525,0.101476382,Comamonadaceae,Depleted
ASV192,5.74233625713463,1.08170885808484,0.361404082969329,0.16249486,Rhizobiaceae,NonSig
ASV193,2.78530048121934,-1.968066497,0.371147513079346,0.087548251,Paenibacillaceae,NonSig
ASV194,3.39629355712953,-2.433010372,0.174915088220893,0.105455848,Chitinophagaceae,NonSig
ASV195,0.671039649250287,-2.419518582,0.496326745747424,0.084895274,Others,NonSig
ASV197,3.6543352067585,-0.13191797,0.935847164881819,0.099486649,Sphingomonadaceae,NonSig
ASV198,1.31680256060487,3.9286207359052,0.125718785065864,0.02454004,Others,NonSig
ASV199,3.78202466514323,-0.486328087,0.771240347202763,0.11805749,Paenibacillaceae,NonSig
ASV2,1062.02151169834,6.21756835753602,3.34355530312325e-73,17.42475493,Pseudomonadaceae,Enrich
ASV200,2.79001970198505,-0.741204597,0.705796920639769,0.090201228,Paenibacillaceae,NonSig
ASV201,3.73908596498154,-1.39678438,0.199387283725737,0.106119092,Others,NonSig
ASV202,3.21175356077784,1.74062917991166,0.260703837367856,0.070967143,Others,NonSig
ASV204,3.87711655089156,0.268827170464335,0.771240347202763,0.115404513,Chitinophagaceae,NonSig
ASV205,2.88308536587363,-1.605029056,0.0917056874475585,0.085558518,Rhizobiaceae,NonSig
ASV206,3.54132511963411,-3.584208278,2.32650253062384e-05,0.110761802,Paenibacillaceae,Depleted
ASV207,1.80746235588929,-1.895409755,0.324488104545211,0.054386035,Chitinophagaceae,NonSig
ASV209,3.84646581190145,-1.366033717,0.0822453891697634,0.114078024,Comamonadaceae,NonSig
ASV211,2.94256703476101,-2.086619573,0.234089650861772,0.085558518,Xanthomonadaceae,NonSig
ASV213,2.55765565059212,-0.851610484,0.390036997845519,0.071630387,Devosiaceae,NonSig
ASV216,6.36431453162006,4.95552480788658,0.000562927627878899,0.163821349,Others,Enrich
ASV217,3.08195594801938,-1.472278895,0.303653013558387,0.087548251,Paenibacillaceae,NonSig
ASV218,3.61053068993874,-3.511563067,0.00198948453498976,0.111425047,Others,Depleted
ASV22,60.7185338778468,-0.357978744,0.361404082969329,1.725098492,Rhizobiaceae,NonSig
ASV220,4.199339691,0.182038397100733,0.925262115746057,0.135301842,Nocardioidaceae,NonSig
ASV222,4.18932739143695,5.92222635611124,0.0822453891697634,0.120047223,Devosiaceae,NonSig
ASV223,0.749690037479434,0.808607473616361,0.771240347202763,0.096170427,Pseudonocardiaceae,NonSig
ASV224,0.771846464162623,-2.619847809,0.412425215992357,0.092190961,Rhizobiaceae,NonSig
ASV228,2.49996114398031,-1.27659664,0.527214816509788,0.067650921,Paenibacillaceae,NonSig
ASV229,3.33534875020004,-0.303602273,0.816512412123877,0.095507183,Others,NonSig
ASV23,69.9641867284792,-1.013894424,0.0163048053213558,2.020905461,Xanthomonadaceae,Depleted
ASV230,1.16092643545667,-3.208204536,0.43650018509966,0.177086235,Caulobacteraceae,NonSig
ASV231,2.49176343371975,-0.696332684,0.598522392570355,0.067650921,Others,NonSig
