	Axis.1	Axis.2	Types	Treatments
A	0.285928999045631	0.249298060846534	SS	4.36
A.1	0.338595456192561	0.213454243434759	SS	4.36
A.2	0.304657233929666	0.23467265560567	SS	4.36
A.3	0.365195592274078	0.135636119372807	SS	4.27
A.4	0.368631563058062	0.151540186687393	SS	4.27
A.5	0.367880650833752	0.151899444190499	SS	4.27
A.6	0.350770145614856	0.164148522440418	SS	4.53
A.7	0.353910114480924	0.233211557549427	SS	4.53
A.8	0.369041455838185	0.187935519836785	SS	4.53
A.9	0.281839526260063	0.134930341728525	SS	4.62
A.10	0.272859516162981	0.150306953333746	SS	4.62
A.11	0.278505234102956	0.144728490648438	SS	4.62
A.12	0.284509695962556	0.155870062066024	SS	4.78
A.13	0.307095568457526	0.176078519445573	SS	4.78
A.14	0.318435815145189	0.165141561636965	SS	4.78
A.15	0.0470573438477517	-0.305340858	SS	4.83
A.16	0.0511237165622631	-0.279606304	SS	4.83
A.17	0.0960232813129478	-0.215062532	SS	4.83
A.18	0.210655746693971	-0.087820808	SS	4.92
A.19	0.218222561926402	-0.096349393	SS	4.92
A.20	0.232064066220373	-0.093789953	SS	4.92
B	-0.030266026	-0.275006333	AS	5.36
B.1	-0.011580567	-0.282597104	AS	5.36
B.2	-0.073223698	-0.226271763	AS	5.36
B.3	0.143948241513021	-0.143383308	AS	5.46
B.4	0.0623952642284871	-0.071182	AS	5.46
B.5	0.0627524038616977	-0.128349434	AS	5.46
B.6	-0.094595288	-0.167629871	AS	5.69
B.7	-0.057824452	-0.206878988	AS	5.69
B.8	-0.136023765	-0.211989726	AS	5.69
B.9	-0.020893263	-0.240382083	AS	5.73
B.10	-0.029963987	-0.337585714	AS	5.73
B.11	-0.08036013	-0.336435072	AS	5.73
B.12	-0.001390135	-0.205516773	AS	5.81
B.13	0.122184583058666	-0.251741665	AS	5.81
B.14	0.0019701375102001	-0.076068919	AS	5.81
B.15	-0.063091406	-0.225561478	AS	5.87
B.16	-0.083509208	-0.313869798	AS	5.87
B.17	-0.019594072	-0.332026259	AS	5.87
B.18	0.127593827021231	-0.138738313	AS	5.93
B.19	-0.028312432	-0.034887531	AS	5.93
B.20	0.0153171761749457	-0.063521698	AS	5.93
B.21	0.0501140884293902	0.110389655611761	AS	6.35
B.22	-0.113290073	0.189008613732574	AS	6.35
B.23	-0.041261021	0.127195229671778	AS	6.35
C	-0.207614018	0.28741454988117	NS	6.55
C.1	-0.226825706	0.286779092801711	NS	6.55
C.2	-0.223742322	0.304918657603271	NS	6.55
C.3	-0.225301061	0.0770737410159824	NS	6.78
C.4	-0.170560268	-0.031688912	NS	6.78
C.5	-0.200515632	-0.002161274	NS	6.78
C.6	-0.245295204	0.00341003019314927	NS	6.89
C.7	-0.213443163	-0.009002393	NS	6.89
C.8	-0.0249876	-0.025046968	NS	6.89
C.9	-0.346579567	0.102878461092439	NS	7.03
C.10	-0.391134708	0.13911790448431	NS	7.03
C.11	-0.151609392	-0.035526422	NS	7.03
C.12	-0.491967439	0.0731424652981628	NS	7.12
C.13	-0.44612241	0.090206382164205	NS	7.12
C.14	-0.501145632	0.0499917964557266	NS	7.12
C.15	-0.447798205	0.321703484112512	NS	7.18
C.16	-0.450478754	0.31782341857761	NS	7.18
C.17	-0.438978402	0.321113922735285	NS	7.18
